smiles,density,refractive_index,dielectric_const_dc,thermal_conductivity
*C(C*)c1ccc(cc1)CCCC,0.931491324,1.533829169,2.39299112,0.246370764
*C(C*)c1ccc(cc1)C(C)(C)C,0.89655902,1.510225602,2.310756199,0.235879806
*C(C*)c1ccc(cc1)C(CC)C,0.914850756,1.525980284,2.350618906,0.23187009
*C(C*)c1ccc(cc1)CCCCCC,0.918524608,1.516093091,2.32739362,0.255178414
*C(C*)c1ccc(cc1)CCCCCCCC,0.905274422,1.50877697,2.299871797,0.284941701
*C(C*)c1ccc(cc1)CCCCCCCCC,0.902766866,1.506706379,2.300854395,0.276524365
*C(C*)c1ccc(cc1)CCCCCCCCCC,0.899890732,1.506963584,2.296540144,0.300936032
*C(C*)c1ccc(cc1)CCCCCCCCCCCC,0.894841977,1.502127912,2.276367403,0.302738789
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCC,0.887566319,1.497225153,2.258266412,0.320037972
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCCCC,0.886142951,1.48273205,3.727415814,0.337054547
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCCCCCC,0.878911528,1.481572993,3.145120192,0.317277699
*C(C*)c1ccc(cc1)c1ccccc1,1.030455771,1.639100177,2.718659788,0.200955009
*C(C*)c1ccc(cc1)COCCOCC,1.048857628,1.535168538,3.484645101,0.249515883
*C(C*)c1ccc(cc1)C#N,1.017159224,1.568492801,2.855462887,0.174135805
*C(C*)c1ccc(cc1)Cl,1.143288057,1.575654358,2.602920343,0.150273069
*C(C*)c1ccc(cc1)Br,1.461570466,1.587087768,2.637042453,0.124850886
*C(C*)c1ccc(cc1)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1.594542527,1.382708399,1.988727801,0.116253947
*C(C*)c1ccc(cc1)C(=NO)C,1.056409606,1.579414349,2.823411213,0.262934975
*C(C*)c1ccc(cc1)C(O)(C)C,1.006839479,1.540293873,3.328164798,0.268025613
*C(C*)c1ccc(cc1)C(CC)(O)C,0.984772104,1.524741004,3.09704859,0.260987479
*C(C*)c1ccc(cc1)C(CCC)(O)C,0.961746913,1.516588287,2.744418113,0.266747745
*C(C*)c1ccc(cc1)C(CCCC)(O)C,0.964527544,1.5150465,2.93954065,0.262999518
*C(C*)c1ccc(cc1)C(CCCCC)(O)C,0.955479058,1.510284384,2.926546536,0.27418578
*C(C*)c1ccc(cc1)C(CCN(C)C)O,1.029659127,1.543225341,3.071049566,0.268210349
*C(C*)c1ccc(cc1)C(CCN1CCCCC1)O,1.022718168,1.526102616,2.876011317,0.250363552
*C(C*)c1ccc(cc1)C(CCN1CCOCC1)O,1.085230389,1.550751424,2.912805368,0.232670764
*C(C*)c1ccc(cc1)COC,1.03750338,1.556287964,3.57236803,0.228853851
*C(C*)c1ccc(cc1)COCCO,1.099535621,1.554927422,4.309653233,0.25859742
*C(C*)c1ccc(cc1)COCCC,1.005095307,1.538251924,3.112011708,0.237335127
*C(C*)c1ccc(cc1)COCCCC,0.992325334,1.530658568,2.969824031,0.260603141
*C(C*)c1ccc(cc1)COCCCCO,1.064499301,1.538019073,3.385239068,0.272183986
*C(C*)c1ccc(cc1)COC(CC)C,0.973651082,1.519590913,2.733703279,0.247595241
*C(C*)c1ccc(cc1)COCCCCCC,0.964533398,1.518067649,2.847928236,0.261210733
*C(C*)c1ccc(cc1)COCCOCCCC,1.013534512,1.500772616,3.144189699,0.2507784
*C(C*)c1ccc(cc1)C(=O)N(C)C,1.05442617,1.560337149,3.060100696,0.247926371
*C(C*)c1ccc(cc1)C(=O)N(CC)CC,1.0040739,1.525667959,2.847004223,0.241507546
*C(C*)c1ccc(cc1)C(=O)N1CCCCC1,1.036942875,1.540580851,2.751296523,0.235723579
*C(C*)c1ccc(cc1)C(=O)CCN1CCCCC1,1.040490676,1.539471929,2.705822698,0.245284571
*C(C*)c1ccc(cc1)C(=O)N1CCOCC1,1.103347893,1.547090123,2.717559963,0.22605657
*C(C*)c1ccc(cc1)C(=O)OC,1.090571368,1.551015844,2.840607631,0.223091355
*C(C*)c1ccc(cc1)C(=O)OCC,1.05070326,1.534191125,2.684839316,0.235563807
*C(C*)c1ccc(cc1)C(=O)OCCC,1.047044212,1.533602845,2.621053037,0.24176446
*C(C*)c1ccc(cc1)C(=O)OC(C)C,1.02693306,1.525014641,2.600537297,0.250453544
*C(C*)c1ccc(cc1)C(=O)OCCCC,1.030347418,1.527340869,2.550202562,0.261827286
*C(C*)c1ccc(cc1)C(=O)OCC(C)C,1.017692103,1.523252244,2.575962988,0.237523806
*C(C*)c1ccc(cc1)C(=O)OCCCCCC,1.003719963,1.515205799,2.48259202,0.258101979
